name	modalities	tags	used_in	url	licenses	pii_removal	robots_filtering	version	raw_dir	processed_dir	tokenized_dir	processing_script	tokenization_script	dumps_preparation_script	chunking_script	notes	pocs
sarulab-speech/mls_sidon	audio	pre-training	v1.5	https://huggingface.co/datasets/sarulab-speech/mls_sidon	CC-BY-4.0	No	No	a9abb3a85d5ca67f92ed29f65003b420169e2732
nyuuzyou/suno	audio	pre-training	v1.5	https://huggingface.co/datasets/nyuuzyou/suno	CC-BY-1.0	No	No	dd95495c415eea043c250f12da595de2ad4cad7f
mozilla/CommonVoice24	audio	pre-training	v1.5	https://commonvoice.mozilla.org/fr	CC-BY-1.0	No	No	Not versioned
MRSAudio/MRSAudio	audio	pre-training	v1.5	https://huggingface.co/datasets/MRSAudio/MRSAudio	CC-BY-4.0	No	No	b1349c4fc03c11b958c2d0e5deb62ae208c1a43c
classla/ParlaSpeech-RS	audio	pre-training	v1.5	https://huggingface.co/datasets/classla/ParlaSpeech-RS	CC-BY-4.0	No	No	a806c1fb6e2bfb99c75f4a811b8efe537e70d631
projecte-aina/parlament_parla_v3	audio	pre-training	v1.5	https://huggingface.co/datasets/projecte-aina/parlament_parla_v3	CC-BY-4.0	No	No	5fabb9fb9cf76ecf8a6cf915dd41d276d48fd0ff
NhutP/VietSpeech	audio	pre-training	v1.5	https://huggingface.co/datasets/NhutP/VietSpeech	Apache 2.0	No	No	0f18688afa9b64ea515d3fdaad850999b86a0f52
Infore2 Audiobooks	audio	pre-training	v1.5	https://huggingface.co/datasets/doof-ferb/infore2_audiobooks	CC-BY-4.0	No	No	836a9a79e28c6e598a5c308de7f047613dcf9ec5
ai4bharat/SeamlessAlign	audio	pre-training	v1.5	https://huggingface.co/datasets/ai4bharat/SeamlessAlign	CC-BY-4.0	No	No	8c812b0c895ffc3e1d8f63f3c0122d9cf332a286
MikCil/f1-team-radio	audio	pre-training	v1.5	https://huggingface.co/datasets/MikCil/f1-team-radio	CC-BY-4.0	No	No	a0b99e1a325d92d63b574541a24902a660a352ea
ai4bharat/Kathbath	audio	pre-training	v1.5	https://huggingface.co/datasets/ai4bharat/Kathbath	CC-BY-4.0	No	No	5b9e92849222026d9141acba4e8434fe816396bf
Flamme-VRM/kazakh-speech-dataset	audio	pre-training	v1.5	https://huggingface.co/datasets/Flamme-VRM/kazakh-speech-dataset	CC-BY-4.0	No	No	343bb8647d6dadef5c7db0710fd0d34340cfc488
CanCLID/zoengjyutgaai	audio	pre-training	v1.5	https://huggingface.co/datasets/CanCLID/zoengjyutgaai	CC-BY-1.0	No	No	829b30725811cabe9b8e2fd0513966470b304f12
HUI-Audio-Corpus-German	audio	pre-training	v1.5	https://opendata.iisys.de/opendata/Datasets/HUI-Audio-Corpus-German	CC0-1.0	No	No	Not versioned
NaiveNeuron/SloPalSpeech	audio	pre-training	v1.5	https://huggingface.co/datasets/NaiveNeuron/SloPalSpeech	CC-BY-4.0	No	No	c8a0ee1733fc1f28dee7fb80fec24a2153280569
Vikhrmodels/ToneWebinars	audio	pre-training	v1.5	https://huggingface.co/datasets/Vikhrmodels/ToneWebinars	Apache 2.0	No	No	a9bda19fb4bf501a744dc0a9c1c7d239b4c43ea4
uhhlt/Tuda-De	audio	pre-training	v1.5	https://huggingface.co/datasets/uhhlt/Tuda-De	CC-BY-4.0	No	No	26ad28a9ac73b664c2f7c7c93969f9507ea6aadc
mediaspeech	audio	pre-training	v1.5	https://openslr.trmal.net/resources/108	CC-BY-4.0	No	No	Not versioned — Fix release
farsi-asr/farsi-asr-dataset	audio	pre-training	v1.5	https://huggingface.co/datasets/farsi-asr/farsi-asr-dataset	MIT	No	No	59f14ee2ffce2f9e454d80f2b6d29016dd513492
ndl/aozora_hurigana_speech_v2	audio	pre-training	v1.5	https://lab.ndl.go.jp/dataset/hurigana-speech-corpus-aozora/ver2/aozora_work_part1.zip	PDM	No	No	Not versioned — Fix release
ghananlpcommunity/ghana-english-speech-600hrs	audio	pre-training	v1.5	https://huggingface.co/datasets/ghananlpcommunity/ghana-english-speech-600hrs	CC-BY-4.0	No	No	9c0b9da2d02cfea61c082582f2c628e39aebeeca
shuyuej/CC-Podcasts	audio	pre-training	v1.5	https://huggingface.co/datasets/shuyuej/CC-Podcasts	Apache-2.0	No	No	044c5e8b545e306cec2d9bc6e4a3db5ded17625b
localized_narratives	audio	pre-training	v1.5	https://storage.googleapis.com/localized-narratives	CC-BY-4.0	No	No	Not versioned
joelniklaus/legal-mc4	text	pre-training	v1.5	https://huggingface.co/datasets/joelniklaus/legal-mc4	CC-BY-4.0	Yes	Yes	0b22f730140a3494f7c714ca6035aa54e9d3d1b1	/capstor/store/cscs/swissai/infra01/datasets/joelniklaus/legal-mc4	/capstor/store/cscs/swissai/infra01/datasets/swiss-ai/legal-mc4-preprocessed/	/capstor/store/cscs/swissai/infra01/datasets_tokenized/legal-mc4-preprocessed/	https://github.com/swiss-ai/data-pipeline-pretrain/blob/bm/apertus-1.5/pipelines/joelniklaus/legal-mc4/main.py	https://github.com/swiss-ai/Megatron-LM/blob/bm/Apertus-1.5-tokenization/scripts/tokenization/submit_tokenization_legal-mc4.sh	https://github.com/swiss-ai/Megatron-LM/blob/bm/Apertus-1.5-tokenization/scripts/tokenization/prepare_dumps_legal-mc4.sh
joelniklaus/Multi_Legal_Pile	text	pre-training	v1.5	https://huggingface.co/datasets/joelniklaus/Multi_Legal_Pile	CC-BY-NC-SA-4.0	Yes	Yes	911e1d214162fd11d2c78d3f1428cbfcbe07782c	/capstor/store/cscs/swissai/infra01/datasets/joelniklaus/Multi_Legal_Pile/data/	/capstor/store/cscs/swissai/infra01/datasets/swiss-ai/Multi_Legal_Pile-preprocessed/data/	/capstor/store/cscs/swissai/infra01/datasets_tokenized/Multi_Legal_Pile-preprocessed/Apertus-70B-2509/Multi_Legal_Pile-preprocessed/	https://github.com/swiss-ai/data-pipeline-pretrain/blob/bm/apertus-1.5/pipelines/joelniklaus/Multi_Legal_Pile/main.py	https://github.com/swiss-ai/Megatron-LM/blob/bm/Apertus-1.5-tokenization/scripts/tokenization/submit_tokenization_Multi_Legal_Pile.sh	https://github.com/swiss-ai/Megatron-LM/blob/bm/Apertus-1.5-tokenization/scripts/tokenization/prepare_dumps_Multi_Legal_Pile.sh
HuggingFaceTB/dclm-edu	text	pre-training	v1, v1.5	https://huggingface.co/datasets/HuggingFaceTB/dclm-edu	CC-BY-4.0	Yes	Yes	dbad8ad71224482740cd9c9d353591adbf62fe04	/capstor/store/cscs/swissai/infra01/datasets/HuggingFaceTB/dclm-edu/	/capstor/store/cscs/swissai/infra01/datasets/swiss-ai/dclm-edu-filterrobots_fine/	/iopsstor/scratch/cscs/jpcoles/a06/swissai-dclm-edu-filterrobots_fine-merge	https://github.com/swiss-ai/pretrain-data/blob/main/pipelines/dclm-edu/main.py	https://github.com/swiss-ai/Megatron-LM/blob/main/scripts/merge_datasets/merge_datasets.py	None
nvidia/Nemotron-CC-v2.1	text	pre-training	v1.5	https://huggingface.co/datasets/nvidia/Nemotron-CC-v2.1	Other	Yes	No	ba6f2aaef7ada865bb08fc08640ca292150097db	/capstor/store/cscs/swissai/infra01/datasets/nvidia/Nemotron-CC-v2.1/	/capstor/store/cscs/swissai/infra01/swiss-ai/Nemotron-CC-v2.1-preprocessed/data	/capstor/store/cscs/swissai/infra01/datasets_tokenized/Nemotron-CC-v2.1-preprocessed/Apertus-70B-2509/Nemotron-CC-v2.1-preprocessed	https://github.com/swiss-ai/data-pipeline-pretrain/blob/bm/apertus-1.5/pipelines/nvidia/Nemotron-CC-v2.1/main.py	https://github.com/swiss-ai/Megatron-LM/blob/bm/Apertus-1.5-tokenization/scripts/tokenization/submit_tokenization_Nemotron-CC-v2.1-preprocessed.sh	https://github.com/swiss-ai/Megatron-LM/blob/bm/Apertus-1.5-tokenization/scripts/tokenization/prepare_dumps_nemotron_v2.1.sh
HuggingFaceFW/finepdfs-edu	text	pre-training	v1.5	https://huggingface.co/datasets/HuggingFaceFW/finepdfs-edu	odc-by	Yes	Yes	9cfabe2127faca99b3d5c4dc6d1fcb397399ebde	/capstor/store/cscs/swissai/infra01/datasets/HuggingFaceFW/finepdfs-edu/	/capstor/store/cscs/swissai/infra01/datasets/swiss-ai/finepdfs-edu-preprocessed	/capstor/scratch/cscs/dtamayomela/data/corrected_data/finepdfs-edu-preprocessed/	https://github.com/swiss-ai/data-pipeline-pretrain/blob/bm/apertus-1.5/pipelines/HuggingFaceFW/finepdfs-edu/main.py	https://github.com/swiss-ai/Megatron-LM/blob/bm/Apertus-1.5-tokenization/scripts/tokenization/submit_tokenization_finepdfs-edu_sven.sh	https://github.com/swiss-ai/Megatron-LM/blob/bm/Apertus-1.5-tokenization/scripts/tokenization/prepare_dumps_all.sh
